epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0974,1.38767,1.28721,1.37304,0.58107,0.7239,0.70433,0.35394,1.4862,1.17484,1.55355,0.000364455,0.000364455,0.000364455
2,60.0092,1.3404,0.97943,1.31073,0.63637,0.65744,0.7193,0.34722,1.63562,1.31073,1.68264,0.000705691,0.000705691,0.000705691
3,86.9358,1.36284,0.99059,1.3234,0.77656,0.59151,0.69238,0.32047,1.61488,1.12542,1.68455,0.0010176,0.0010176,0.0010176
4,112.945,1.35945,0.95883,1.33052,0.63208,0.65228,0.7477,0.37631,1.5707,1.05543,1.5983,0.000979013,0.000979013,0.000979013
5,138.941,1.34838,0.9399,1.31296,0.68294,0.73916,0.77921,0.37859,1.59044,0.98731,1.66849,0.000935018,0.000935018,0.000935018
6,165.732,1.32583,0.90988,1.31216,0.70168,0.71679,0.73368,0.3863,1.49449,0.94952,1.55865,0.000891022,0.000891022,0.000891022
7,192.711,1.32896,0.88127,1.31038,0.6319,0.64927,0.74615,0.39656,1.50586,0.86544,1.5938,0.000847026,0.000847026,0.000847026
8,219.135,1.30659,0.85002,1.2977,0.78287,0.72681,0.82177,0.45139,1.41715,0.83188,1.49901,0.000803031,0.000803031,0.000803031
9,244.977,1.27445,0.82594,1.27396,0.75997,0.74996,0.78397,0.43149,1.42186,0.82873,1.50885,0.000759035,0.000759035,0.000759035
10,270.758,1.25982,0.80773,1.27873,0.85129,0.71067,0.83991,0.46522,1.39463,0.78611,1.49339,0.00071504,0.00071504,0.00071504
11,296.932,1.27093,0.79747,1.26998,0.79272,0.81966,0.86351,0.45785,1.42264,0.79359,1.49339,0.000671044,0.000671044,0.000671044
12,322.158,1.25233,0.76761,1.25067,0.85596,0.73965,0.84236,0.46566,1.40252,0.74232,1.47763,0.000627048,0.000627048,0.000627048
13,348.041,1.22722,0.75962,1.243,0.74113,0.78946,0.82701,0.43767,1.40543,0.77921,1.48881,0.000583053,0.000583053,0.000583053
14,374.049,1.22017,0.73216,1.2367,0.76427,0.80755,0.83301,0.45466,1.39553,0.75331,1.47918,0.000539057,0.000539057,0.000539057
15,402.773,1.19201,0.72823,1.22869,0.84769,0.76366,0.8366,0.44857,1.40178,0.73886,1.49171,0.000495062,0.000495062,0.000495062
16,433.887,1.19109,0.68843,1.24759,0.84657,0.8458,0.89556,0.47713,1.38355,0.70328,1.4815,0.000451066,0.000451066,0.000451066
17,460.091,1.16731,0.64231,1.23226,0.84624,0.85631,0.8816,0.46798,1.41487,0.70862,1.49049,0.00040707,0.00040707,0.00040707
18,485.847,1.14344,0.61776,1.20859,0.80473,0.80074,0.84954,0.47828,1.36005,0.68988,1.4626,0.000363075,0.000363075,0.000363075
19,511.47,1.12499,0.62186,1.2076,0.79205,0.86194,0.87987,0.46722,1.42293,0.7255,1.53147,0.000319079,0.000319079,0.000319079
20,537.116,1.12143,0.59843,1.20386,0.87862,0.79167,0.8767,0.48405,1.35171,0.65379,1.46119,0.000275084,0.000275084,0.000275084
21,563.399,1.09123,0.57452,1.19096,0.89197,0.85807,0.9127,0.49542,1.38507,0.65612,1.48132,0.000231088,0.000231088,0.000231088
22,589.11,1.0586,0.55535,1.16357,0.83956,0.85951,0.88312,0.48379,1.37603,0.64947,1.48948,0.000187092,0.000187092,0.000187092
23,615.313,1.04386,0.53565,1.15096,0.7994,0.87208,0.87302,0.49222,1.36513,0.65552,1.47562,0.000143097,0.000143097,0.000143097
24,640.975,1.01677,0.51965,1.14707,0.83655,0.87412,0.89144,0.48481,1.36084,0.64325,1.47073,9.91012e-05,9.91012e-05,9.91012e-05
25,667.332,1.0079,0.50866,1.13707,0.85172,0.89278,0.89301,0.48498,1.36954,0.64244,1.47986,5.51056e-05,5.51056e-05,5.51056e-05
